Timestamp;StimuliName;FixationDuration;MappedFixationPointX;MappedFixationPointY;user;description;aois
13679;03_Bordeaux_S1.jpg;316;1152;790;p1;color;Hotel_de_Ville-Place_du_Palais
13995;03_Bordeaux_S1.jpg;583;1424;860;p1;color;Porte_de_Bourgogne-Stalingrad
14578;03_Bordeaux_S1.jpg;283;1486;979;p1;color
14861;03_Bordeaux_S1.jpg;233;1419;863;p1;color;Porte_de_Bourgogne-Stalingrad
15094;03_Bordeaux_S1.jpg;266;1149;781;p1;color;Hotel_de_Ville-Place_du_Palais
534327;03_Bordeaux_S1.jpg;266;1177;710;p12;color;Origin
534594;03_Bordeaux_S1.jpg;466;1155;681;p12;color;Origin
535060;03_Bordeaux_S1.jpg;250;1559;974;p12;color
535310;03_Bordeaux_S1.jpg;200;1532;1054;p12;color;Destination
535510;03_Bordeaux_S1.jpg;150;1549;1085;p12;color;Destination
535660;03_Bordeaux_S1.jpg;216;1393;528;p12;color;Enghein-Quinconces
535876;03_Bordeaux_S1.jpg;183;1406;438;p12;color;Enghein-Quinconces
536060;03_Bordeaux_S1.jpg;1366;1294;455;p12;color;Enghein-Quinconces
537425;03_Bordeaux_S1.jpg;183;1323;432;p12;color;Enghein-Quinconces
537608;03_Bordeaux_S1.jpg;183;1402;399;p12;color;Enghein-Quinconces
537892;03_Bordeaux_S1.jpg;1315;1325;412;p12;color;Enghein-Quinconces
539207;03_Bordeaux_S1.jpg;233;1308;472;p12;color;Enghein-Quinconces
539441;03_Bordeaux_S1.jpg;233;1451;796;p12;color;Porte_de_Bourgogne-Stalingrad
539674;03_Bordeaux_S1.jpg;466;1442;867;p12;color;Porte_de_Bourgogne-Stalingrad
540140;03_Bordeaux_S1.jpg;516;1528;1032;p12;color;Destination
540656;03_Bordeaux_S1.jpg;216;1213;710;p12;color;Origin
540873;03_Bordeaux_S1.jpg;233;1160;691;p12;color;Origin
541106;03_Bordeaux_S1.jpg;266;1183;1149;p12;color
541373;03_Bordeaux_S1.jpg;183;1143;1161;p12;color
541556;03_Bordeaux_S1.jpg;350;1322;1108;p12;color
315907;03_Bordeaux_S1.jpg;167;1305;794;p13;color;Hotel_de_Ville-Place_du_Palais
316074;03_Bordeaux_S1.jpg;183;1493;960;p13;color
316257;03_Bordeaux_S1.jpg;266;1524;1022;p13;color;Destination
316523;03_Bordeaux_S1.jpg;516;1424;848;p13;color;Porte_de_Bourgogne-Stalingrad
317040;03_Bordeaux_S1.jpg;233;1174;782;p13;color;Hotel_de_Ville-Place_du_Palais
317273;03_Bordeaux_S1.jpg;283;1125;786;p13;color;Hotel_de_Ville-Place_du_Palais
317556;03_Bordeaux_S1.jpg;216;1364;704;p13;color
317773;03_Bordeaux_S1.jpg;167;1351;601;p13;color;Enghein-Quinconces
317939;03_Bordeaux_S1.jpg;150;1264;559;p13;color;Enghein-Quinconces
318089;03_Bordeaux_S1.jpg;733;1286;475;p13;color;Enghein-Quinconces
318822;03_Bordeaux_S1.jpg;233;1252;516;p13;color;Enghein-Quinconces
319055;03_Bordeaux_S1.jpg;283;1262;453;p13;color;Enghein-Quinconces
319338;03_Bordeaux_S1.jpg;166;1155;702;p13;color;Origin
319505;03_Bordeaux_S1.jpg;167;1160;764;p13;color;Hotel_de_Ville-Place_du_Palais
319671;03_Bordeaux_S1.jpg;516;1416;855;p13;color;Porte_de_Bourgogne-Stalingrad
320188;03_Bordeaux_S1.jpg;100;1471;945;p13;color
320288;03_Bordeaux_S1.jpg;183;1521;1012;p13;color;Destination
320471;03_Bordeaux_S1.jpg;167;1528;1051;p13;color;Destination
320637;03_Bordeaux_S1.jpg;166;1465;921;p13;color
320804;03_Bordeaux_S1.jpg;383;1419;863;p13;color;Porte_de_Bourgogne-Stalingrad
321187;03_Bordeaux_S1.jpg;183;1388;811;p13;color
321370;03_Bordeaux_S1.jpg;733;1135;792;p13;color;Hotel_de_Ville-Place_du_Palais
322103;03_Bordeaux_S1.jpg;216;1439;862;p13;color;Porte_de_Bourgogne-Stalingrad
322320;03_Bordeaux_S1.jpg;366;1217;751;p13;color;Origin
322686;03_Bordeaux_S1.jpg;400;1419;832;p13;color;Porte_de_Bourgogne-Stalingrad
323086;03_Bordeaux_S1.jpg;133;1487;939;p13;color
323219;03_Bordeaux_S1.jpg;200;1517;1035;p13;color;Destination
323419;03_Bordeaux_S1.jpg;183;1526;1075;p13;color;Destination
323602;03_Bordeaux_S1.jpg;300;1578;881;p13;color
690521;03_Bordeaux_S1.jpg;183;1057;659;p16;color
690705;03_Bordeaux_S1.jpg;300;1140;665;p16;color;Origin
691004;03_Bordeaux_S1.jpg;300;1024;653;p16;color
691304;03_Bordeaux_S1.jpg;266;1298;876;p16;color
691571;03_Bordeaux_S1.jpg;200;1187;710;p16;color;Origin
691771;03_Bordeaux_S1.jpg;200;1149;704;p16;color;Origin
691970;03_Bordeaux_S1.jpg;250;1496;1069;p16;color;Destination
